amel,cflo ,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
XP_395844.3,XP_011256162.1,0,1058,0,1071
XP_395849.4,XP_011269031.1,0,2745,0,2710
XP_395849.4,XP_011269032.2,0,2744,0,2710
XP_395849.4,XP_025271119.1,0,2766,0,2744
XP_395849.4,XP_025271121.1,0,2766,0,2744
XP_395849.4,XP_025271122.1,0,2766,0,2744
XP_395849.4,XP_025271123.1,0,2744,0,2708
XP_395849.4,XP_025271124.1,0,2727,0,2707
XP_395851.2,XP_011269558.1,0,805,0,805
XP_395852.4,XP_011269567.2,0,735,0,735
XP_395864.3,XP_011267489.1,0,616,0,616
XP_395865.5,XP_011262490.1,0,1515,0,1546
XP_395866.2,XP_011255310.1,0,687,0,687
XP_395866.2,XP_011255311.1,0,681,0,681
XP_395866.2,XP_025270422.1,0,663,0,663
XP_395867.4,XP_011254571.1,0,767,0,767
XP_395873.4,XP_011257777.2,0,565,0,565
XP_395877.1,XP_011259215.1,5.00E-54,170,7.00E-54,170
XP_395879.4,XP_025271402.1,0,1846,0,1837
XP_395880.4,XP_011266915.1,0,1004,0,1016
XP_395880.4,XP_011266916.1,0,1004,0,1016
XP_395880.4,XP_011266917.1,0,1004,0,1016
XP_395892.2,XP_011255234.1,0,732,0,678
XP_395892.2,XP_011255235.1,0,732,0,678
XP_395892.2,XP_011255237.1,0,732,0,678
XP_395899.2,XP_011262470.1,9.00E-150,437,9.00E-141,414
XP_395899.2,XP_011262471.1,4.00E-150,436,2.00E-141,415
XP_395899.2,XP_011262472.1,6.00E-159,453,2.00E-150,432
XP_395900.2,XP_019885570.1,4.00E-112,328,5.00E-112,328
XP_395900.2,XP_019885571.1,4.00E-112,328,5.00E-112,328
XP_395902.2,XP_011258448.1,2.00E-101,295,4.00E-108,312
XP_395903.3,XP_011262686.1,0,1174,0,1169
XP_395905.2,XP_011253571.2,6.00E-128,374,8.00E-135,392
XP_395906.3,XP_011269897.1,1.00E-94,275,2.00E-94,275
XP_395910.3,XP_011254731.1,7.00E-123,370,3.00E-132,394
XP_395910.3,XP_019882846.1,7.00E-123,370,3.00E-132,394
XP_395913.3,XP_025271271.1,0,1410,0,1401
XP_395913.3,XP_025271272.1,0,1410,0,1401
XP_395914.1,XP_011266587.1,0,869,0,869
XP_395914.1,XP_011266588.1,0,875,0,875
XP_395916.5,XP_011265681.1,0,1075,0,1074
XP_395916.5,XP_011265682.1,0,1091,0,1092
XP_395917.2,XP_011253035.2,0,582,0,571
XP_395917.2,XP_011253036.2,0,582,0,571
XP_395921.4,XP_011264083.2,0,1196,0,992
XP_395924.2,XP_011269718.1,0,1021,0,1038
XP_395927.4,XP_011259228.1,0,942,0,955
XP_395928.4,XP_011260891.2,0,865,0,902
XP_395928.4,XP_025263362.1,0,865,0,902
XP_395929.2,XP_025265916.1,0,938,0,938
XP_395929.2,XP_025265917.1,0,923,0,923
XP_395929.2,XP_025265918.1,0,923,0,923
XP_395930.3,XP_011254256.1,5.00E-119,346,4.00E-120,349
XP_395932.2,XP_011263477.1,1.00E-144,422,4.00E-144,421
XP_395933.4,XP_011263475.1,0,952,0,971
XP_395933.4,XP_019884488.1,0,952,0,971
XP_395933.4,XP_019884489.1,0,915,0,934
XP_395934.2,XP_011254594.1,1.00E-180,505,0,522
XP_395937.6,XP_025267297.1,0,588,4.00E-170,508
XP_395938.2,XP_011257287.1,0,765,0,765
XP_395945.2,XP_011251827.1,1.00E-154,440,1.00E-154,440
XP_395946.4,XP_011260689.1,0,953,0,971
XP_395948.5,XP_011265664.1,5.00E-153,451,2.00E-159,468
XP_395948.5,XP_011265665.1,4.00E-153,451,2.00E-159,468
XP_395948.5,XP_011265666.1,2.00E-153,452,6.00E-160,468
XP_395948.5,XP_011265668.1,1.00E-153,451,3.00E-160,468
XP_395948.5,XP_025265119.1,1.00E-153,450,1.00E-160,468
XP_395948.5,XP_025265120.1,1.00E-153,450,1.00E-160,468
XP_395960.3,XP_011258281.1,9.00E-138,391,4.00E-134,382
XP_395960.3,XP_011258282.1,9.00E-138,391,4.00E-134,382
XP_395960.3,XP_011258284.1,9.00E-138,391,4.00E-134,382
XP_395961.4,XP_011256133.1,0,1271,0,1263
XP_395962.2,XP_011264144.1,0,1339,0,1338
XP_395972.4,XP_011256163.1,0,1087,0,1087
XP_395972.4,XP_011256164.1,0,1049,0,1049
XP_395979.4,XP_025264463.1,6.00E-171,479,1.00E-170,478
XP_395979.4,XP_025264464.1,4.00E-171,478,7.00E-171,478
XP_395979.4,XP_025264465.1,4.00E-171,478,7.00E-171,478
XP_395981.2,XP_011266529.1,0,728,0,738
XP_395983.4,XP_011256581.1,0,974,0,995
XP_395983.4,XP_011256582.1,0,974,0,995
XP_395983.4,XP_011256583.1,0,979,0,999
XP_395986.4,XP_011257630.1,0,884,0,862
XP_395996.1,XP_025269878.1,0,1136,0,1136
XP_395996.1,XP_025269879.1,0,1136,0,1136
XP_395996.1,XP_025269880.1,0,1166,0,1166
XP_396003.4,XP_025268457.1,0,593,0,593
XP_396004.2,XP_011260937.1,2.00E-87,258,3.00E-87,258
XP_396005.4,XP_011264562.1,5.00E-114,338,4.00E-115,341
XP_396005.4,XP_011264563.1,3.00E-114,338,3.00E-115,341
XP_396005.4,XP_011264564.1,3.00E-114,338,3.00E-115,341
XP_396009.2,XP_011250768.1,2.00E-131,373,2.00E-131,373
XP_396012.1,XP_011260978.1,9.00E-140,399,6.00E-135,387
XP_396015.2,XP_025263878.1,0,740,0,739
XP_396024.6,XP_025264193.1,0,1143,0,1159
XP_396028.5,XP_011267149.1,0,1026,0,1026
XP_396029.4,XP_025262277.1,0,1511,0,1493
XP_396035.2,XP_025269162.1,0,769,0,749
XP_396039.6,XP_025262414.1,0,1111,0,1111
XP_396043.3,XP_011266899.1,0,937,0,944
XP_396043.3,XP_011266900.1,0,941,0,949
XP_396044.4,XP_011261127.1,1.00E-137,402,1.00E-137,402
XP_396051.1,XP_011255116.1,0,754,0,754
XP_396054.1,XP_011267833.1,0,636,0,636
XP_396054.1,XP_011267842.1,0,644,0,644
XP_396056.5,XP_011265565.1,0,957,0,889
XP_396062.4,XP_011254374.1,0,1489,0,1515
XP_396063.4,XP_025266143.1,0,1516,0,1546
XP_396063.4,XP_025266144.1,0,1521,0,1552
XP_396063.4,XP_025266145.1,0,1505,0,1536
XP_396066.5,XP_011253032.1,0,531,0,540
XP_396066.5,XP_025267702.1,0,531,0,540
XP_396066.5,XP_025267703.1,0,531,0,540
XP_396066.5,XP_025267704.1,0,531,0,540
XP_396074.2,XP_011259672.1,0,970,0,983
XP_396074.2,XP_011259673.1,0,969,0,981
XP_396074.2,XP_011259674.1,0,969,0,981
XP_396075.2,XP_011257667.1,0,730,0,730
XP_396078.4,XP_011258525.1,0,2376,0,2376
XP_396078.4,XP_025271381.1,0,2350,0,2349
XP_396079.3,XP_011253844.1,0,995,0,993
XP_396085.3,XP_025267693.1,0,628,0,628
XP_396085.3,XP_025267694.1,0,628,0,628
XP_396090.2,XP_011267925.1,0,838,0,838
XP_396091.3,XP_011251348.1,0,618,0,618
XP_396091.3,XP_011251349.1,0,618,0,618
XP_396091.3,XP_011251350.1,0,618,0,618
XP_396091.3,XP_011251351.1,0,618,0,618
XP_396093.4,XP_019882281.2,0,1515,0,1533
XP_396096.4,XP_011269372.2,0,1125,0,1125
XP_396097.3,XP_025267013.1,8.00E-135,382,6.00E-135,382
XP_396099.3,XP_011256808.1,3.00E-149,420,3.00E-149,420
XP_396099.3,XP_011256817.1,3.00E-149,420,3.00E-149,420
XP_396117.2,XP_025265208.1,0,1376,0,1376
XP_396123.6,XP_011254225.1,0,1466,0,1472
XP_396123.6,XP_025270917.1,0,1466,0,1472
XP_396123.6,XP_025270918.1,0,1412,0,1419
XP_396126.2,XP_011259036.1,0,554,0,569
XP_396131.3,XP_011258211.1,0,632,0,632
XP_396132.4,XP_011253199.1,0,2469,0,2448
XP_396132.4,XP_011253201.1,0,2469,0,2448
XP_396132.4,XP_011253202.1,0,2469,0,2448
XP_396134.2,XP_011255472.1,3.00E-163,463,7.00E-175,493
XP_396142.4,XP_011269909.1,0,843,0,853
XP_396142.4,XP_011269917.1,0,849,0,859
XP_396143.4,XP_011259063.1,1.00E-134,398,7.00E-133,394
XP_396145.2,XP_011258868.1,0,600,0,600
XP_396155.4,XP_011254454.1,0,1501,0,1501
XP_396159.2,XP_011265562.1,5.00E-159,444,5.00E-159,444
XP_396160.4,XP_011269501.2,0,983,0,983
XP_396161.2,XP_011254208.1,4.00E-117,337,6.00E-113,327
XP_396163.2,XP_011261809.1,3.00E-122,347,3.00E-122,347
XP_396164.7,XP_011260875.1,0,1217,0,1223
XP_396165.2,XP_011253129.1,0,1051,0,1051
XP_396167.1,XP_011256816.1,0,757,0,757
XP_396175.2,XP_011254489.2,0,998,0,998
XP_396175.2,XP_025262168.1,0,998,0,998
XP_396180.4,XP_011252031.2,0,1127,0,1126
XP_396181.4,XP_019882333.1,0,916,0,940
XP_396181.4,XP_019882335.1,0,910,0,934
XP_396187.2,XP_011262857.1,0,827,0,827
XP_396192.5,XP_025267387.1,0,1969,0,1748
XP_396194.3,XP_011268740.2,0,2013,0,2045
XP_396197.2,XP_011264670.1,0,631,0,631
XP_396202.3,XP_011261806.1,0,1135,0,1135
XP_396203.4,XP_019882816.2,0,1576,0,1321
XP_396204.4,XP_011252766.1,0,863,0,869
XP_396204.4,XP_025269843.1,0,863,0,869
XP_396208.4,XP_011261665.1,0,675,0,639
XP_396208.4,XP_025270270.1,0,675,0,639
XP_396208.4,XP_025270271.1,0,675,0,639
XP_396212.2,XP_011251525.1,8.00E-91,270,9.00E-91,270
XP_396215.1,XP_011252649.1,0,763,0,758
XP_396215.1,XP_011252651.1,0,763,0,758
XP_396217.2,XP_011265521.1,0,844,0,844
XP_396220.3,XP_011257937.1,5.00E-154,433,5.00E-154,433
XP_396227.5,XP_019881992.1,0,1002,0,1056
XP_396227.5,XP_025271052.1,0,967,0,1021
XP_396230.3,XP_011268835.1,0,1076,0,1085
XP_396230.3,XP_011268836.1,0,1069,0,1078
XP_396230.3,XP_011268837.1,0,1082,0,1092
XP_396230.3,XP_011268839.1,0,1050,0,1058
XP_396230.3,XP_025271136.1,0,1053,0,1062
XP_396231.4,XP_011268829.2,0,3873,0,3892
XP_396231.4,XP_025271188.1,0,3873,0,3892
XP_396231.4,XP_025271189.1,0,3873,0,3892
XP_396231.4,XP_025271190.1,0,3873,0,3892
XP_396231.4,XP_025271191.1,0,3873,0,3892
XP_396231.4,XP_025271192.1,0,3873,0,3892
XP_396231.4,XP_025271193.1,0,3873,0,3892
XP_396233.3,XP_025266403.1,0,843,0,838
XP_396233.3,XP_025266404.1,0,802,0,803
XP_396235.5,XP_011260808.1,1.00E-179,509,1.00E-179,509
XP_396235.5,XP_011260810.1,1.00E-179,509,1.00E-179,509
XP_396235.5,XP_019883917.1,1.00E-179,509,1.00E-179,509
XP_396235.5,XP_025268138.1,1.00E-179,509,1.00E-179,509
XP_396237.5,XP_025264252.1,0,1048,0,1048
XP_396241.4,XP_011260918.1,0,783,0,773
XP_396249.3,XP_011252467.1,1.00E-168,483,1.00E-168,483
XP_396249.3,XP_025262901.1,1.00E-168,483,1.00E-168,483
XP_396249.3,XP_025262902.1,7.00E-166,473,7.00E-166,473
XP_396254.6,XP_011252340.1,0,2507,0,2460
XP_396254.6,XP_011252341.1,0,2507,0,2460
XP_396257.3,XP_011268528.1,0,748,0,748
XP_396259.1,XP_011268518.1,3.00E-71,214,1.00E-71,215
XP_396261.2,XP_011260498.1,0,1628,0,1628
XP_396261.2,XP_019883853.1,0,1628,0,1628
XP_396261.2,XP_025270281.1,0,1628,0,1628
XP_396270.5,XP_025269705.1,0,1454,0,1436
XP_396275.3,XP_011257253.1,0,1404,0,1404
XP_396275.3,XP_011257254.1,0,1350,0,1350
XP_396279.3,XP_011266661.2,0,1091,0,1091
XP_396280.4,XP_011257892.1,0,652,0,652
XP_396282.5,XP_011257030.1,0,777,0,789
XP_396284.2,XP_011261694.2,0,1710,0,1710
XP_396286.4,XP_011266436.1,0,1497,0,1496
XP_396286.4,XP_011266438.1,0,1497,0,1496
XP_396286.4,XP_025268539.1,0,1497,0,1496
XP_396290.2,XP_025266827.1,0,2078,0,2095
XP_396290.2,XP_025266828.1,0,2078,0,2095
XP_396290.2,XP_025266829.1,0,2078,0,2095
XP_396290.2,XP_025266830.1,0,2078,0,2095
XP_396290.2,XP_025266831.1,0,2078,0,2095
XP_396291.3,XP_025264069.1,0,837,0,846
XP_396292.3,XP_025264068.1,0,825,0,655
XP_396294.3,XP_011266208.1,0,945,0,929
XP_396294.3,XP_019884954.1,0,928,0,911
XP_396295.4,XP_011263702.1,0,1052,0,1052
XP_396298.2,XP_011261042.1,0,715,0,715
XP_396302.3,XP_025264411.1,0,1303,0,1318
XP_396310.3,XP_011269677.1,0,1386,0,1374
XP_396311.4,XP_011269674.1,0,1563,0,1584
XP_396311.4,XP_025268743.1,0,1563,0,1584
XP_396315.6,XP_025262592.1,0,2043,0,2037
XP_396316.4,XP_011268112.1,2.00E-89,264,3.00E-89,264
XP_396316.4,XP_011268113.1,1.00E-89,264,1.00E-89,264
XP_396318.4,XP_025264567.1,0,1517,0,1518
XP_396318.4,XP_025264568.1,0,1515,0,1517
XP_396320.3,XP_025261871.1,3.00E-170,478,5.00E-177,496
XP_396322.3,XP_011255061.1,2.00E-126,367,5.00E-114,335
XP_396322.3,XP_011255063.1,2.00E-126,367,5.00E-114,335
XP_396332.3,XP_011252477.2,0,970,0,970
XP_396341.3,XP_011253616.1,0,608,0,608
XP_396348.4,XP_011263103.1,0,757,0,746
XP_396348.4,XP_011263104.1,0,757,0,746
XP_396348.4,XP_011263105.1,0,757,0,746
XP_396348.4,XP_019884422.1,0,757,0,746
XP_396350.2,XP_011251332.1,4.00E-170,481,5.00E-170,481
XP_396365.1,XP_011260575.1,2.00E-117,337,8.00E-124,353
XP_396366.3,XP_025270770.1,0,1706,0,1697
XP_396366.3,XP_025270771.1,0,1706,0,1697
XP_396366.3,XP_025270772.1,0,1706,0,1697
XP_396366.3,XP_025270773.1,0,1706,0,1697
XP_396366.3,XP_025270774.1,0,1706,0,1697
XP_396366.3,XP_025270775.1,0,1706,0,1697
XP_396366.3,XP_025270776.1,0,1706,0,1697
XP_396366.3,XP_025270777.1,0,1702,0,1681
XP_396366.3,XP_025270778.1,0,1702,0,1681
XP_396366.3,XP_025270779.1,0,1705,0,1682
XP_396366.3,XP_025270780.1,0,1706,0,1684
XP_396371.5,XP_011255615.1,3.00E-170,478,9.00E-168,472
XP_396374.3,XP_011254292.1,0,647,0,647
XP_396375.5,XP_011254294.1,0,1137,0,1137
XP_396375.5,XP_011254295.1,0,1148,0,1148
XP_396376.2,XP_011262074.2,0,821,0,791
XP_396376.2,XP_025262364.1,0,822,0,791
XP_396377.3,XP_011263328.3,0,1207,0,1193
XP_396379.4,XP_011263866.1,0,590,0,603
XP_396379.4,XP_011263867.1,0,590,0,603
XP_396379.4,XP_011263868.1,0,590,0,603
XP_396380.2,XP_011261035.1,2.00E-113,329,8.00E-120,345
XP_396380.2,XP_019883977.1,2.00E-113,329,8.00E-120,345
XP_396380.2,XP_025264416.1,2.00E-113,332,1.00E-119,348
XP_396382.3,XP_011257305.1,0,856,0,856
XP_396383.2,XP_011257302.1,0,910,0,877
XP_396383.2,XP_025268553.1,0,910,0,877
XP_396386.4,XP_011257165.1,0,739,0,706
XP_396386.4,XP_019883275.1,0,739,0,706
XP_396388.5,XP_011253755.1,0,986,0,983
XP_396394.3,XP_025269519.1,0,1014,0,1002
XP_396407.3,XP_019885343.1,0,716,0,706
XP_396411.5,XP_011256756.1,0,1379,0,1379
XP_396412.4,XP_011253317.1,0,1417,0,1417
XP_396412.4,XP_011253318.1,0,1425,0,1425
XP_396416.3,XP_025266580.1,0,864,0,838
XP_396423.3,XP_011266211.1,0,680,0,680
XP_396426.5,XP_011257323.1,0,803,0,803
XP_396430.1,XP_011259134.1,0,531,0,549
XP_396430.1,XP_019883649.2,0,547,0,547
XP_396435.3,XP_011267058.2,0,598,0,598
XP_396436.3,XP_011266455.1,0,895,0,860
XP_396447.3,XP_011259794.1,4.00E-169,478,4.00E-169,478
XP_396448.1,XP_011259795.1,0,977,0,966
XP_396451.2,XP_011253114.1,0,787,0,787
XP_396456.4,XP_011255795.1,0,942,0,942
XP_396456.4,XP_011255796.1,0,942,0,942
XP_396456.4,XP_011255797.1,0,904,0,904
XP_396456.4,XP_011255798.1,0,898,0,898
XP_396457.1,XP_011269024.2,0,666,0,665
XP_396457.1,XP_025271161.1,0,661,0,660
XP_396457.1,XP_025271162.1,0,661,0,660
XP_396457.1,XP_025271163.1,0,661,0,660
XP_396462.2,XP_011256095.1,0,842,0,843
XP_396465.2,XP_011266722.1,3.00E-41,135,3.00E-41,135
XP_396469.1,XP_011253525.1,0,2009,0,2009
XP_396469.1,XP_011253526.1,0,2009,0,2009
XP_396469.1,XP_011253527.1,0,2009,0,2009
XP_396469.1,XP_011253528.1,0,2009,0,2009
XP_396469.1,XP_011253529.1,0,2009,0,2009
XP_396469.1,XP_011253530.1,0,2009,0,2009
XP_396475.5,XP_011269912.1,0,962,0,972
XP_396481.3,XP_011257982.1,0,587,0,587
XP_396481.3,XP_011257983.1,0,587,0,587
XP_396485.3,XP_011264295.1,0,1371,0,1389
XP_396485.3,XP_011264296.1,0,1371,0,1389
XP_396485.3,XP_011264297.1,0,1371,0,1389
XP_396485.3,XP_011264298.1,0,1371,0,1389
XP_396485.3,XP_025271060.1,0,1371,0,1389
XP_396485.3,XP_025271061.1,0,1318,0,1320
XP_396485.3,XP_025271062.1,0,1349,0,1367
XP_396491.1,XP_011267021.2,0,610,0,610
XP_396499.5,XP_011268758.1,0,951,0,951
XP_396499.5,XP_025270915.1,0,939,0,939
XP_396499.5,XP_025270920.1,0,941,0,941
XP_396502.5,XP_025267289.1,8.00E-122,357,7.00E-122,357
XP_396502.5,XP_025267290.1,8.00E-122,357,7.00E-122,357
XP_396503.5,XP_011254604.1,0,1248,0,1256
XP_396503.5,XP_025267223.1,0,1248,0,1256
XP_396504.1,XP_011263567.1,0,641,0,641
XP_396506.4,XP_011269870.1,0,945,0,921
XP_396506.4,XP_011269872.1,0,910,0,885
XP_396511.3,XP_011263786.1,0,937,0,928
XP_396516.3,XP_011253362.1,5.00E-169,475,5.00E-169,475
XP_396516.3,XP_011253363.1,5.00E-169,475,5.00E-169,475
XP_396516.3,XP_011253364.1,5.00E-169,475,5.00E-169,475
XP_396516.3,XP_011253366.1,5.00E-169,475,5.00E-169,475
XP_396516.3,XP_011253367.1,5.00E-169,475,5.00E-169,475
XP_396516.3,XP_019882574.1,5.00E-169,475,5.00E-169,475
XP_396520.4,XP_011265407.1,0,1369,0,1369
XP_396525.2,XP_011259451.1,0,2134,0,2140
XP_396527.6,XP_011269076.1,0,883,0,887
XP_396527.6,XP_011269077.1,0,869,0,870
XP_396537.3,XP_011252631.1,0,1145,0,1136
XP_396537.3,XP_011252632.1,0,1149,0,1141
XP_396537.3,XP_025271399.1,0,1145,0,1136
XP_396537.3,XP_025271400.1,0,1145,0,1136
XP_396538.2,XP_011264883.1,0,843,0,843
XP_396538.2,XP_011264884.1,0,843,0,843
XP_396538.2,XP_011264885.1,0,843,0,843
XP_396540.4,XP_011265675.1,0,781,0,783
XP_396540.4,XP_011265676.1,0,754,0,755
XP_396540.4,XP_011265677.1,0,753,0,755
XP_396542.5,XP_011252850.1,0,1278,0,1231
XP_396542.5,XP_025264761.1,0,1286,0,1262
XP_396542.5,XP_025264762.1,0,1286,0,1262
XP_396547.5,XP_011252626.1,0,1786,0,1786
XP_396549.3,XP_011250726.1,0,855,0,855
XP_396549.3,XP_025265659.1,0,855,0,855
XP_396550.2,XP_011265738.1,0,1727,0,1721
XP_396552.3,XP_011263750.2,0,825,0,826
XP_396554.4,XP_019884117.2,0,653,0,646
XP_396561.1,XP_011257283.1,1.00E-153,429,1.00E-153,429
XP_396561.1,XP_011257284.1,1.00E-153,429,1.00E-153,429
XP_396572.3,XP_011255017.1,1.00E-94,280,1.00E-94,280
XP_396572.3,XP_019882885.1,1.00E-94,280,1.00E-94,280
XP_396579.3,XP_011258324.1,0,956,0,956
XP_396580.4,XP_011255549.2,0,1082,0,1077
XP_396580.4,XP_011255550.2,0,1085,0,1081
XP_396581.5,XP_011257820.1,0,2069,0,2044
XP_396581.5,XP_011257821.1,0,2043,0,2032
XP_396584.2,XP_011269706.1,0,569,0,569
XP_396585.2,XP_011252242.1,0,943,0,974
XP_396585.2,XP_011252243.1,0,943,0,974
XP_396585.2,XP_025268912.1,0,943,0,974
XP_396585.2,XP_025268913.1,0,943,0,974
XP_396588.2,XP_011260293.1,3.00E-144,405,4.00E-144,405
XP_396595.2,XP_011255491.1,0,606,0,606
XP_396596.1,XP_011255506.1,0,540,0,540
XP_396598.4,XP_011253446.1,0,1234,0,1234
XP_396603.5,XP_011259330.1,0,1770,0,1796
XP_396603.5,XP_011259331.1,0,1690,0,1716
XP_396615.2,XP_011262424.1,1.00E-102,299,1.00E-102,299
XP_396618.2,XP_011260688.1,0,1326,0,1336
XP_396620.5,XP_011258893.1,0,763,0,734
XP_396620.5,XP_011258894.1,0,763,0,734
XP_396622.5,XP_011258895.2,0,4111,0,4050
XP_396622.5,XP_011258896.2,0,4123,0,4063
XP_396624.2,XP_011257202.1,0,648,0,648
XP_396624.2,XP_011257203.1,0,648,0,648
XP_396630.2,XP_011253808.1,2.00E-148,417,4.00E-158,441
XP_396632.3,XP_011256734.1,0,626,0,626
XP_396634.2,XP_011251415.1,0,560,0,560
XP_396635.2,XP_011266418.1,9.00E-140,404,2.00E-126,370
XP_396637.3,XP_011267055.1,1.00E-63,193,1.00E-63,193
XP_396637.3,XP_011267056.1,1.00E-63,193,1.00E-63,193
XP_396639.1,XP_011256471.1,0,536,0,536
XP_396639.1,XP_011256472.1,0,537,0,537
XP_396640.4,XP_011265532.1,0,886,0,885
XP_396640.4,XP_011265533.1,0,886,0,885
XP_396642.2,XP_011250705.2,0,546,0,548
XP_396645.4,XP_019885016.1,0,2649,0,2649
XP_396646.1,XP_011264105.1,1.00E-150,425,1.00E-150,425
XP_396646.1,XP_025263598.1,1.00E-150,425,1.00E-150,425
XP_396653.1,XP_011252154.1,6.00E-151,428,9.00E-152,430
XP_396653.1,XP_025262451.1,2.00E-147,419,5.00E-148,421
XP_396653.1,XP_025262452.1,2.00E-147,419,5.00E-148,421
XP_396653.1,XP_025262453.1,2.00E-147,419,5.00E-148,421
XP_396653.1,XP_025262454.1,2.00E-147,419,5.00E-148,421
XP_396654.1,XP_011252142.1,1.00E-177,496,1.00E-177,496
XP_396654.1,XP_025262425.1,1.00E-177,496,1.00E-177,496
XP_396656.1,XP_011262880.1,3.00E-126,362,3.00E-126,362
XP_396658.3,XP_011262882.1,0,1013,0,1003
XP_396662.2,XP_011264418.1,0,857,0,858
XP_396662.2,XP_011264420.1,0,857,0,858
XP_396662.2,XP_011264421.1,0,856,0,857
XP_396662.2,XP_011264423.1,0,856,0,857
XP_396662.2,XP_025263386.1,0,857,0,858
XP_396662.2,XP_025263387.1,0,857,0,858
XP_396662.2,XP_025263388.1,0,857,0,858
XP_396662.2,XP_025263389.1,0,857,0,858
XP_396662.2,XP_025263390.1,0,857,0,858
XP_396662.2,XP_025263391.1,0,857,0,858
XP_396662.2,XP_025263392.1,0,856,0,857
XP_396662.2,XP_025263393.1,0,856,0,857
XP_396662.2,XP_025263394.1,0,856,0,857
XP_396662.2,XP_025263395.1,0,856,0,857
XP_396670.3,XP_011264904.2,0,995,0,1023
XP_396670.3,XP_011264905.2,0,972,0,1000
XP_396685.2,XP_011254955.1,0,710,0,729
XP_396686.2,XP_011254957.1,0,538,0,539
XP_396686.2,XP_011254958.1,0,538,0,539
XP_396686.2,XP_019882871.1,0,538,0,539
XP_396688.4,XP_011250675.1,0,1717,0,1736
XP_396688.4,XP_011250676.1,0,1717,0,1736
XP_396688.4,XP_025266057.1,0,1717,0,1736
XP_396690.2,XP_011266619.1,0,716,0,716
XP_396691.3,XP_011254000.1,5.00E-109,321,5.00E-109,321
XP_396691.3,XP_011254001.1,2.00E-109,322,2.00E-109,322
XP_396692.3,XP_011266185.1,3.00E-130,367,3.00E-130,367
XP_396696.4,XP_011252470.1,0,926,0,926
XP_396696.4,XP_011252479.1,0,926,0,926
XP_396698.3,XP_011256996.1,0,1205,0,1209
XP_396699.1,XP_011257000.1,1.00E-155,435,2.00E-155,435
XP_396701.3,XP_011262040.1,1.00E-146,418,1.00E-146,418
XP_396702.1,XP_011265107.1,0,1344,0,1357
XP_396702.1,XP_019884752.1,0,1344,0,1357
XP_396705.4,XP_011268932.1,0,833,0,823
XP_396706.4,XP_025271113.1,0,1455,0,1505
XP_396712.3,XP_019885188.1,0,1034,0,1031
XP_396715.5,XP_025266267.1,0,1130,0,1130
XP_396716.1,XP_011263906.1,0,561,0,561
XP_396720.2,XP_011257388.1,0,545,0,545
XP_396723.3,XP_011264435.1,0,773,0,740
XP_396724.2,XP_011257916.1,0,542,0,542
XP_396725.4,XP_011257624.1,1.00E-101,300,2.00E-102,302
XP_396730.1,XP_011261538.1,1.00E-123,355,1.00E-123,355
XP_396738.2,XP_011269267.1,7.00E-124,351,8.00E-124,351
XP_396738.2,XP_011269278.1,2.00E-125,355,2.00E-125,355
XP_396742.2,XP_025265253.1,0,645,0,626
XP_396742.2,XP_025267103.1,0,650,0,630
XP_396744.4,XP_025268226.1,0,535,0,556
XP_396750.5,XP_025270668.1,0,564,0,551
XP_396758.1,XP_011269149.1,8.00E-123,353,2.00E-121,350
XP_396778.2,XP_011257045.1,0,950,0,927
XP_396778.2,XP_025262717.1,0,950,0,927
XP_396778.2,XP_025262718.1,0,950,0,927
XP_396781.2,XP_011252783.1,0,849,0,849
XP_396785.4,XP_011263901.1,4.00E-85,270,5.00E-85,270
XP_396788.3,XP_011263925.1,1.00E-172,486,1.00E-172,486
XP_396788.3,XP_011263926.1,1.00E-172,486,1.00E-172,486
XP_396788.3,XP_011263927.1,1.00E-172,486,1.00E-172,486
XP_396789.2,XP_011264040.1,0,2205,0,2205
XP_396791.3,XP_011253653.1,0,600,0,599
XP_396791.3,XP_011253654.2,0,599,0,603
XP_396791.3,XP_019884179.2,0,590,0,582
XP_396791.3,XP_025264354.1,0,590,0,582
XP_396795.3,XP_011255480.2,0,609,0,635
XP_396795.3,XP_011255481.2,0,609,0,635
XP_396796.2,XP_011255479.1,0,1692,0,1678
XP_396802.3,XP_025263540.1,0,1605,0,1610
XP_396806.3,XP_025266070.1,0,1240,0,1240
XP_396810.3,XP_011269578.1,0,660,0,680
XP_396813.5,XP_019883099.2,0,1750,0,1231
XP_396813.5,XP_025270604.1,0,1752,0,1237
XP_396813.5,XP_025270619.1,0,1769,0,1660
XP_396815.3,XP_011260053.1,0,1526,0,1550
XP_396815.3,XP_011260054.1,0,1526,0,1550
XP_396815.3,XP_011260058.1,0,1526,0,1550
XP_396815.3,XP_025263830.1,0,1526,0,1550
XP_396816.5,XP_011263618.2,0,677,0,684
XP_396819.2,XP_011252798.1,7.00E-129,393,5.00E-131,399
XP_396821.3,XP_011257167.1,0,1027,0,1018
XP_396824.1,XP_011265874.2,1.00E-179,508,1.00E-179,508
XP_396827.5,XP_025268285.1,0,1967,0,1970
XP_396827.5,XP_025268286.1,0,1890,0,1892
XP_396828.2,XP_011266245.1,0,616,0,616
XP_396828.2,XP_011266246.1,0,616,0,616
XP_396828.2,XP_011266247.1,0,616,0,616
XP_396828.2,XP_011266248.1,0,616,0,616
XP_396828.2,XP_011266249.1,0,616,0,616
